National LGA Name 2021,count Crash ID,Local Government Area,Population,Fatal Crashes Per 1000 People
Adelaide,11,Adelaide,26141,4.207949199
Adelaide Hills,35,Adelaide Hills,41411,8.451860617
Adelaide Plains,13,Adelaide Plains,10456,12.43305279
Albany,9,Albany,40416,2.226840855
Albury,8,Albury,56666,1.411781315
Alexandrina,22,Alexandrina,29754,7.393963837
Alice Springs,17,Alice Springs,28855,5.891526599
Alpine,9,Alpine,13187,6.824903314
Anangu Pitjantjatjara Yunkunytjatjara,4,Anangu Pitjantjatjara Yunkunytjatjara,2598,15.39645881
Ararat,12,Ararat,11754,10.20929045
Armadale,26,Armadale,100768,2.580184185
Armidale,14,Armidale,29360,4.768392371
Ashburton,7,Ashburton,7834,8.935409752
Augusta Margaret River,11,Augusta Margaret River,17901,6.144908106
Ballarat,25,Ballarat,115951,2.156083173
Ballina,18,Ballina,46850,3.842049093
Balonne,4,Balonne,4353,9.189065013
Balranald,7,Balranald,2210,31.67420814
Banana,11,Banana,14779,7.442993437
Banyule,17,Banyule,127348,1.334924773
Barcaldine,1,Barcaldine,2865,3.490401396
Barcoo,2,Barcoo,315,63.49206349
Barkly,20,Barkly,7214,27.72387025
Barossa,28,Barossa,25869,10.8237659
Barunga West,3,Barunga West,2673,11.22334456
Bass Coast,14,Bass Coast,41798,3.349442557
Bassendean,2,Bassendean,16600,1.204819277
Bathurst,28,Bathurst,44112,6.347479144
Baw Baw,29,Baw Baw,59248,4.894679989
Bayside (NSW),37,Bayside (NSW),177945,2.079294164
Bayside (Vic.),2,Bayside (Vic.),102177,0.195738767
Bayswater,10,Bayswater,72165,1.385713296
Bega Valley,20,Bega Valley,35988,5.557408025
Bellingen,19,Bellingen,13262,14.32664756
Belmont,6,Belmont,44303,1.354310092
Benalla,12,Benalla,14457,8.300477277
Berri Barmera,4,Berri Barmera,10713,3.733781387
Berrigan,6,Berrigan,8653,6.934011326
Beverley,3,Beverley,1738,17.26121979
Blacktown,52,Blacktown,410897,1.265523963
Bland,12,Bland,5494,21.84200946
Blayney,6,Blayney,7591,7.904096957
Blue Mountains,16,Blue Mountains,77913,2.053572575
Boddington,6,Boddington,1757,34.14911781
Bogan,9,Bogan,2454,36.67481663
Boroondara,18,Boroondara,169500,1.061946903
Bourke,2,Bourke,2348,8.517887564
Break O'Day,10,Break O'Day,7009,14.26737052
Brewarrina,4,Brewarrina,1431,27.95248078
Bridgetown-Greenbushes,5,Bridgetown-Greenbushes,5526,9.048136084
Brighton,12,Brighton,19691,6.09415469
Brimbank,58,Brimbank,193256,3.00120048
Brisbane,123,Brisbane,1283002,0.9586890745
Broken Hill,1,Broken Hill,17569,0.5691843588
Brookton,6,Brookton,955,62.82722513
Broome,9,Broome,18353,4.903830436
Broomehill-Tambellup,8,Broomehill-Tambellup,1087,73.59705612
Bruce Rock,4,Bruce Rock,1019,39.25417076
Bulloo,1,Bulloo,343,29.15451895
Buloke,12,Buloke,6118,19.61425302
Bunbury,6,Bunbury,34393,1.74454104
Bundaberg,57,Bundaberg,102076,5.584074611
Burdekin,11,Burdekin,16869,6.520837038
Burke,1,Burke,432,23.14814815
Burnie,8,Burnie,20472,3.907776475
Burnside,6,Burnside,46694,1.284961665
Burwood,5,Burwood,40832,1.224529781
Busselton,25,Busselton,42911,5.826011978
Byron,13,Byron,36510,3.56066831
Cabonne,21,Cabonne,13844,15.16902629
Cairns,36,Cairns,171970,2.093388382
Cambridge,5,Cambridge,30119,1.660081676
Camden,16,Camden,127806,1.251897407
Campaspe,32,Campaspe,38541,8.30284632
Campbelltown (NSW),23,Campbelltown (NSW),180365,1.275191972
Campbelltown (SA),7,Campbelltown (SA),56024,1.249464515
Canada Bay,8,Canada Bay,89210,0.8967604529
Canning,16,Canning,99593,1.606538612
Canterbury-Bankstown,59,Canterbury-Bankstown,372066,1.585740164
Capel,11,Capel,19002,5.78886433
Cardinia,51,Cardinia,123104,4.142838576
Carnamah,3,Carnamah,572,52.44755245
Carnarvon,6,Carnarvon,5518,10.87350489
Carpentaria,2,Carpentaria,2171,9.212344542
Carrathool,9,Carrathool,2829,31.81336161
Casey,56,Casey,378831,1.478231718
Cassowary Coast,18,Cassowary Coast,29605,6.080054045
Ceduna,5,Ceduna,3651,13.69487812
Central Coast (NSW),98,Central Coast (NSW),349173,2.80663167
Central Coast (Tas.),9,Central Coast (Tas.),23345,3.85521525
Central Darling,4,Central Darling,1749,22.87021155
Central Desert,15,Central Desert,4107,36.5230095
Central Goldfields,10,Central Goldfields,13516,7.39863865
Central Highlands (Qld),20,Central Highlands (Qld),28530,7.010164739
Central Highlands (Tas.),7,Central Highlands (Tas.),2586,27.06883217
Cessnock,31,Cessnock,65878,4.705668053
Chapman Valley,3,Chapman Valley,1636,18.33740831
Charles Sturt,24,Charles Sturt,124864,1.922091235
Charters Towers,14,Charters Towers,11981,11.68516818
Chittering,7,Chittering,6296,11.11817027
Circular Head,6,Circular Head,8367,7.171029043
Clare and Gilbert Valleys,10,Clare and Gilbert Valleys,9383,10.65757221
Claremont,2,Claremont,11718,1.7067759
Clarence,15,Clarence,63086,2.377706623
Clarence Valley,60,Clarence Valley,54662,10.97654678
Cleve,3,Cleve,1765,16.99716714
Cloncurry,10,Cloncurry,3789,26.39218791
Cobar,5,Cobar,4046,12.35788433
Cockburn,26,Cockburn,125123,2.077955292
Coffs Harbour,28,Coffs Harbour,79725,3.51207275
Colac Otway,26,Colac Otway,22188,11.71804579
Collie,10,Collie,9150,10.92896175
Coober Pedy,1,Coober Pedy,1574,6.353240152
Cook,13,Cook,4673,27.81938797
Coolamon,6,Coolamon,4465,13.43784994
Coolgardie,8,Coolgardie,3635,22.00825309
Coomalie,5,Coomalie,1396,35.81661891
Coonamble,3,Coonamble,3825,7.843137255
Coorong,17,Coorong,5576,30.48780488
Cootamundra-Gundagai,16,Cootamundra-Gundagai,11404,14.03016485
Copper Coast,6,Copper Coast,15648,3.834355828
Corangamite,26,Corangamite,15993,16.25711249
Corrigin,4,Corrigin,1022,39.13894325
Cowra,10,Cowra,12705,7.870916962
Cranbrook,1,Cranbrook,1141,8.764241893
Croydon,1,Croydon,268,37.31343284
Cuballing,3,Cuballing,929,32.29278794
Cue,3,Cue,230,130.4347826
Cumberland,45,Cumberland,237420,1.895375284
Cunderdin,2,Cunderdin,1344,14.88095238
Dalwallinu,3,Dalwallinu,1428,21.00840336
Dandaragan,10,Dandaragan,3573,27.98768542
Dardanup,16,Dardanup,15370,10.40988939
Darebin,21,Darebin,150483,1.395506469
Darwin,32,Darwin,84846,3.771539024
Denmark,6,Denmark,6537,9.178522258
Derby-West Kimberley,16,Derby-West Kimberley,8405,19.03628792
Derwent Valley,7,Derwent Valley,11236,6.22997508
Devonport,6,Devonport,26937,2.227419534
Donnybrook-Balingup,13,Donnybrook-Balingup,6398,20.31884964
Doomadgee,1,Doomadgee,1442,6.93481276
Dorset,3,Dorset,7022,4.272287098
