Local Government Area,Population
Albury,56666
Armidale,29360
Ballina,46850
Balranald,2210
Bathurst,44112
Bayside (NSW),177945
Bega Valley,35988
Bellingen,13262
Berrigan,8653
Blacktown,410897
Bland,5494
Blayney,7591
Blue Mountains,77913
Bogan,2454
Bourke,2348
Brewarrina,1431
Broken Hill,17569
Burwood,40832
Byron,36510
Cabonne,13844
Camden,127806
Campbelltown (NSW),180365
Canada Bay,89210
Canterbury-Bankstown,372066
Carrathool,2829
Central Coast (NSW),349173
Central Darling,1749
Cessnock,65878
Clarence Valley,54662
Cobar,4046
Coffs Harbour,79725
Coolamon,4465
Coonamble,3825
Cootamundra-Gundagai,11404
Cowra,12705
Cumberland,237420
Dubbo,55894
Dungog,9722
Edward River,8457
Eurobodalla,40755
Fairfield,206807
Federation,12854
Forbes,9339
Georges River,153232
Gilgandra,4299
Glen Innes Severn,8945
Goulburn Mulwaree,32428
Greater Hume,11267
Griffith,27014
Gunnedah,13144
Gwydir,4924
Hawkesbury,67862
Hay,2834
Hilltops,19239
Hornsby,151747
Hunters Hill,13924
Inner West,183105
Inverell,17966
Junee,6465
Kempsey,31180
Kiama,22964
Ku-ring-gai,124172
Kyogle,9453
Lachlan,6139
Lake Macquarie,216603
Lane Cove,40076
Leeton,11454
Lismore,44276
Lithgow,20813
Liverpool,239755
Liverpool Plains,7660
Lockhart,3370
Maitland,93616
Mid-Coast,97237
Mid-Western,25795
Moree Plains,12869
Mosman,28123
Murray River,13016
Murrumbidgee,3566
Muswellbrook,16540
Nambucca Valley,20610
Narrabri,12721
Narrandera,5721
Narromine,6430
Newcastle,171528
North Sydney,69341
Northern Beaches,263298
Oberon,5597
Orange,43963
Parkes,14347
Parramatta,260379
Penrith,220908
Port Macquarie-Hastings,88311
Port Stephens,76672
Queanbeyan-Palerang,64233
Randwick,135686
Richmond Valley,23702
Ryde,131122
Shellharbour,78332
Shoalhaven,109611
Singleton,25093
Snowy Monaro,21823
Snowy Valleys,14936
Strathfield,46230
Sutherland,231839
Sydney,218096
Tamworth,64522
Temora,5996
Tenterfield,6879
The Hills,199244
Tweed,97969
Upper Hunter,14293
Upper Lachlan,8551
Uralla,5985
Wagga Wagga,68337
Walcha,3010
Walgett,5516
Warren,2578
Warrumbungle,9246
Waverley,69324
Weddin,3614
Wentworth,7597
Willoughby,75473
Wingecarribee,52795
Wollondilly,55801
Wollongong,216431
Woollahra,53505
Yass Valley,17379
Unincorporated NSW,1000
Alpine,13187
Ararat,11754
Ballarat,115951
Banyule,127348
Bass Coast,41798
Baw Baw,59248
Bayside (Vic.),102177
Benalla,14457
Boroondara,169500
Brimbank,193256
Buloke,6118
Campaspe,38541
Cardinia,123104
Casey,378831
Central Goldfields,13516
Colac Otway,22188
Corangamite,15993
Darebin,150483
East Gippsland,48922
Frankston,141078
Gannawarra,10531
Glen Eira,151694
Glenelg,20041
Golden Plains,25312
Greater Bendigo,122647
Greater Dandenong,159151
Greater Geelong,276446
Greater Shepparton,68925
Hepburn,16567
Hindmarsh,5599
Hobsons Bay,91803
Horsham,20337
Hume,252987
Indigo,17418
Kingston (Vic.),160005
Knox,159465
Latrobe (Vic.),77668
Loddon,7748
Macedon Ranges,52179
Manningham,126491
Mansfield,10335
Maribyrnong,87526
Maroondah,115689
Melbourne,159993
Melton,193155
Mildura,57216
Mitchell,51654
Moira,30571
Monash,194877
Moonee Valley,123038
Moorabool,38506
Moreland,174735
Mornington Peninsula,169663
Mount Alexander,20317
Moyne,17470
Murrindindi,15348
Nillumbik,63041
Northern Grampians,11875
Port Phillip,103990
Pyrenees,7651
Queenscliffe,3220
South Gippsland,30697
Southern Grampians,16393
