Dayweek,Time,Fatal Crashes
Friday,00:00,37
Friday,01:00,28
Friday,02:00,28
Friday,03:00,18
Friday,04:00,24
Friday,05:00,38
Friday,06:00,54
Friday,07:00,48
Friday,08:00,43
Friday,09:00,41
Friday,10:00,52
Friday,11:00,58
Friday,12:00,68
Friday,13:00,68
Friday,14:00,92
Friday,15:00,99
Friday,16:00,78
Friday,17:00,89
Friday,18:00,78
Friday,19:00,81
Friday,20:00,62
Friday,21:00,65
Friday,22:00,54
Friday,23:00,69
Monday,00:00,27
Monday,01:00,21
Monday,02:00,18
Monday,03:00,20
Monday,04:00,15
Monday,05:00,40
Monday,06:00,45
Monday,07:00,32
Monday,08:00,53
Monday,09:00,55
Monday,10:00,67
Monday,11:00,68
Monday,12:00,64
Monday,13:00,53
Monday,14:00,74
Monday,15:00,78
Monday,16:00,76
Monday,17:00,56
Monday,18:00,66
Monday,19:00,51
Monday,20:00,40
Monday,21:00,22
Monday,22:00,37
Monday,23:00,20
Saturday,00:00,54
Saturday,01:00,65
Saturday,02:00,59
Saturday,03:00,38
Saturday,04:00,43
Saturday,05:00,36
Saturday,06:00,43
Saturday,07:00,46
Saturday,08:00,47
Saturday,09:00,54
Saturday,10:00,60
Saturday,11:00,71
Saturday,12:00,81
Saturday,13:00,75
Saturday,14:00,79
Saturday,15:00,97
Saturday,16:00,70
Saturday,17:00,76
Saturday,18:00,54
Saturday,19:00,77
Saturday,20:00,59
Saturday,21:00,71
Saturday,22:00,70
Saturday,23:00,66
Sunday,00:00,47
Sunday,01:00,48
Sunday,02:00,43
Sunday,03:00,46
Sunday,04:00,36
Sunday,05:00,37
Sunday,06:00,42
Sunday,07:00,38
Sunday,08:00,49
Sunday,09:00,62
Sunday,10:00,75
Sunday,11:00,92
Sunday,12:00,83
Sunday,13:00,81
Sunday,14:00,73
Sunday,15:00,80
Sunday,16:00,89
Sunday,17:00,70
Sunday,18:00,72
Sunday,19:00,63
Sunday,20:00,52
Sunday,21:00,25
Sunday,22:00,36
Sunday,23:00,32
Thursday,00:00,36
Thursday,01:00,18
Thursday,02:00,29
Thursday,03:00,11
Thursday,04:00,15
Thursday,05:00,37
Thursday,06:00,41
Thursday,07:00,44
Thursday,08:00,41
Thursday,09:00,47
Thursday,10:00,63
Thursday,11:00,59
Thursday,12:00,67
Thursday,13:00,64
Thursday,14:00,64
Thursday,15:00,78
Thursday,16:00,79
Thursday,17:00,86
Thursday,18:00,62
Thursday,19:00,49
Thursday,20:00,52
Thursday,21:00,60
Thursday,22:00,41
Thursday,23:00,36
Tuesday,00:00,18
Tuesday,01:00,13
Tuesday,02:00,19
Tuesday,03:00,15
Tuesday,04:00,28
Tuesday,05:00,23
Tuesday,06:00,49
Tuesday,07:00,54
Tuesday,08:00,47
Tuesday,09:00,57
Tuesday,10:00,64
Tuesday,11:00,59
Tuesday,12:00,64
Tuesday,13:00,50
Tuesday,14:00,55
Tuesday,15:00,76
Tuesday,16:00,74
Tuesday,17:00,67
Tuesday,18:00,63
Tuesday,19:00,49
Tuesday,20:00,41
Tuesday,21:00,42
Tuesday,22:00,37
Tuesday,23:00,33
Wednesday,00:00,23
Wednesday,01:00,18
Wednesday,02:00,12
Wednesday,03:00,20
Wednesday,04:00,17
Wednesday,05:00,34
Wednesday,06:00,61
Wednesday,07:00,49
Wednesday,08:00,40
Wednesday,09:00,51
Wednesday,10:00,52
Wednesday,11:00,54
Wednesday,12:00,61
Wednesday,13:00,68
Wednesday,14:00,83
Wednesday,15:00,77
Wednesday,16:00,76
Wednesday,17:00,64
Wednesday,18:00,67
Wednesday,19:00,44
Wednesday,20:00,43
Wednesday,21:00,46
Wednesday,22:00,38
Wednesday,23:00,35
