Crash ID,State,Month,Year,Day,Time,Crash Type,Number Fatalities,"Bus 
Involvement",Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,National Remoteness Areas,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Day of week,Time of Day,Time
20221116,NSW & ACT,12,2022,Friday,15:00,Single,1,No,No,No,40,Major Cities of Australia,Canterbury-Bankstown,Local Road,Yes,No,Weekday,Day,15:00
20221162,NSW & ACT,12,2022,Friday,22:00,Single,1,No,No,No,60,Inner Regional Australia,Greater Hume,Access Road,No,No,Weekend,Night,22:00
20221034,NSW & ACT,12,2022,Tuesday,12:00,Multiple,1,No,No,No,100,Inner Regional Australia,Wagga Wagga,National or State Highway,Yes,No,Weekday,Day,12:00
20221004,NSW & ACT,12,2022,Friday,16:00,Multiple,1,No,No,No,100,Outer Regional Australia,Eurobodalla,National or State Highway,Yes,No,Weekday,Day,16:00
20222007,Vic,12,2022,Sunday,22:00,Single,1,No,No,No,100,Inner Regional Australia,Moira,National or State Highway,No,No,Weekend,Night,22:00
20222008,Vic,12,2022,Sunday,18:00,Multiple,1,No,No,No,80,Inner Regional Australia,Bass Coast,Local Road,Yes,No,Weekend,Night,18:00
20223180,Qld,12,2022,Saturday,21:00,Multiple,1,No,No,No,70,Major Cities of Australia,Moreton Bay,Sub-Arterial Road,No,No,Weekend,Night,21:00
20223241,Qld,12,2022,Thursday,20:00,Single,1,No,No,No,60,Major Cities of Australia,Moreton Bay,Local Road,No,No,Weekday,Night,20:00
20223008,Qld,12,2022,Thursday,15:00,Multiple,1,No,No,No,70,Major Cities of Australia,Logan,Local Road,No,No,Weekday,Day,15:00
20224063,SA,12,2022,Saturday,1:00,Single,1,No,No,No,100,Inner Regional Australia,Playford,Sub-Arterial Road,No,No,Weekend,Night,1:00
20225030,WA,12,2022,Sunday,18:00,Single,1,No,No,No,110,Unknown,Unknown,Unknown,No,No,Weekend,Night,18:00
20225047,WA,12,2022,Thursday,23:00,Single,1,No,No,No,60,Unknown,Unknown,Unknown,No,No,Weekday,Night,23:00
20221184,NSW & ACT,12,2022,Thursday,11:00,Multiple,1,No,No,No,50,Major Cities of Australia,Parramatta,Local Road,No,No,Weekday,Day,11:00
20221187,NSW & ACT,12,2022,Thursday,11:00,Single,1,No,No,No,100,Outer Regional Australia,Murray River,Arterial Road,No,No,Weekday,Day,11:00
20221017,NSW & ACT,12,2022,Friday,8:00,Single,1,No,No,No,50,Major Cities of Australia,Blue Mountains,Local Road,No,No,Weekday,Day,8:00
20222166,Vic,12,2022,Saturday,19:00,Single,1,No,No,No,80,Unknown,Unknown,Arterial Road,No,No,Weekend,Night,19:00
20222059,Vic,12,2022,Friday,19:00,Single,1,No,No,No,80,Outer Regional Australia,Mansfield,Sub-Arterial Road,Yes,No,Weekend,Night,19:00
20223126,Qld,12,2022,Wednesday,20:00,Single,1,No,No,No,60,Inner Regional Australia,Fraser Coast,Sub-Arterial Road,Yes,No,Weekday,Night,20:00
20223249,Qld,12,2022,Saturday,12:00,Single,1,No,No,No,50,Major Cities of Australia,Redland,Collector Road,Yes,No,Weekend,Day,12:00
20223029,Qld,12,2022,Thursday,6:00,Multiple,1,No,Yes,No,60,Outer Regional Australia,Cairns,National or State Highway,No,No,Weekday,Day,6:00
