Crash ID,State,Date,Day,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Age Group,Day of week,Time of day
20225058,WA,12-1-2022 19:00,Saturday,Single,No,No,No,60,Driver,Male,19,Unknown,Unknown,Unknown,No,No,17_to_25,Weekend,Night
20222166,Vic,12-1-2022 19:00,Saturday,Single,No,No,No,80,Driver,Male,36,Unknown,Unknown,Arterial Road,No,No,26_to_39,Weekend,Night
20223174,Qld,12-1-2022 20:00,Sunday,Single,No,No,No,60,Driver,Male,39,Outer Regional Australia,Cairns,Collector Road,No,No,26_to_39,Weekend,Night
20223180,Qld,12-1-2022 21:00,Saturday,Multiple,No,No,No,70,Passenger,Male,24,Major Cities of Australia,Moreton Bay,Sub-Arterial Road,No,No,17_to_25,Weekend,Night
20223022,Qld,12-1-2022 3:00,Sunday,Single,No,No,No,100,Driver,Male,23,Outer Regional Australia,Tablelands,National or State Highway,No,No,17_to_25,Weekend,Night
20225097,WA,12-1-2022 1:00,Sunday,Multiple,No,Yes,No,110,Passenger,Male,24,Unknown,Unknown,Unknown,No,No,17_to_25,Weekend,Night
20221162,NSW & ACT,12-1-2022 22:00,Friday,Single,No,No,No,60,Driver,Male,19,Inner Regional Australia,Greater Hume,Access Road,No,No,17_to_25,Weekend,Night
20225047,WA,12-1-2022 23:00,Thursday,Single,No,No,No,60,Driver,Female,32,Unknown,Unknown,Unknown,No,No,26_to_39,Weekday,Night
20225097,WA,12-1-2022 1:00,Sunday,Multiple,No,Yes,No,110,Driver,Male,32,Unknown,Unknown,Unknown,No,No,26_to_39,Weekend,Night
20225029,WA,12-1-2022 22:00,Friday,Single,No,No,No,60,Pedestrian,Female,22,Unknown,Unknown,Unknown,No,No,17_to_25,Weekend,Night
20225067,WA,12-1-2022 21:00,Friday,Single,No,No,No,50,Pedestrian,Female,53,Unknown,Unknown,Unknown,No,No,40_to_64,Weekend,Night
