National LGA Name 2021,Year,Fatalities,Population,Fatality Rate
Adelaide,2015,2,26141,7.650816725
Adelaide,2016,1,26141,3.825408362
Adelaide,2017,2,26141,7.650816725
Adelaide,2018,2,26141,7.650816725
Adelaide,2019,1,26141,3.825408362
Adelaide Hills,2015,5,41411,12.0740866
Adelaide Hills,2016,2,41411,4.829634638
Adelaide Hills,2017,5,41411,12.0740866
Adelaide Hills,2018,3,41411,7.244451957
Adelaide Hills,2019,4,41411,9.659269276
Adelaide Hills,2020,6,41411,14.48890391
Adelaide Hills,2021,5,41411,12.0740866
Adelaide Hills,2022,2,41411,4.829634638
Adelaide Plains,2015,1,10456,9.563886764
Adelaide Plains,2017,4,10456,38.25554705
Adelaide Plains,2019,3,10456,28.69166029
Adelaide Plains,2020,2,10456,19.12777353
Adelaide Plains,2021,2,10456,19.12777353
Albany,2015,1,40416,2.474267617
Albany,2016,1,40416,2.474267617
Albany,2017,5,40416,12.37133808
Albany,2019,1,40416,2.474267617
Albany,2021,2,40416,4.948535234
Albury,2017,2,56666,3.529453288
Albury,2018,1,56666,1.764726644
Albury,2019,1,56666,1.764726644
Albury,2021,2,56666,3.529453288
Albury,2022,1,56666,1.764726644
Alexandrina,2015,1,29754,3.360892653
Alexandrina,2016,1,29754,3.360892653
Alexandrina,2017,3,29754,10.08267796
Alexandrina,2018,6,29754,20.16535592
Alexandrina,2019,3,29754,10.08267796
Alexandrina,2020,6,29754,20.16535592
Alexandrina,2021,2,29754,6.721785306
Alexandrina,2022,2,29754,6.721785306
Alice Springs,2015,4,28855,13.86241553
Alice Springs,2016,2,28855,6.931207763
Alice Springs,2017,1,28855,3.465603881
Alice Springs,2018,6,28855,20.79362329
Alice Springs,2019,3,28855,10.39681164
Alice Springs,2020,1,28855,3.465603881
Alice Springs,2021,1,28855,3.465603881
Alice Springs,2022,2,28855,6.931207763
Alpine,2018,4,13187,30.33290362
Alpine,2019,2,13187,15.16645181
Alpine,2020,1,13187,7.583225904
Alpine,2022,2,13187,15.16645181
Anangu Pitjantjatjara Yunkunytjatjara,2016,1,2598,38.49114704
Anangu Pitjantjatjara Yunkunytjatjara,2017,1,2598,38.49114704
Anangu Pitjantjatjara Yunkunytjatjara,2019,1,2598,38.49114704
Anangu Pitjantjatjara Yunkunytjatjara,2020,1,2598,38.49114704
Ararat,2015,2,11754,17.01548409
Ararat,2016,3,11754,25.52322614
Ararat,2017,1,11754,8.507742045
Ararat,2018,1,11754,8.507742045
Ararat,2019,3,11754,25.52322614
Ararat,2021,1,11754,8.507742045
Ararat,2022,1,11754,8.507742045
Armadale,2015,3,100768,2.977135599
Armadale,2016,3,100768,2.977135599
Armadale,2017,6,100768,5.954271197
Armadale,2018,4,100768,3.969514131
Armadale,2019,6,100768,5.954271197
Armadale,2020,5,100768,4.961892664
Armadale,2021,3,100768,2.977135599
Armidale,2015,4,29360,13.6239782
Armidale,2016,2,29360,6.811989101
Armidale,2018,2,29360,6.811989101
Armidale,2019,1,29360,3.40599455
Armidale,2020,2,29360,6.811989101
Armidale,2021,1,29360,3.40599455
Armidale,2022,3,29360,10.21798365
Ashburton,2015,2,7834,25.52974215
Ashburton,2016,3,7834,38.29461322
Ashburton,2019,3,7834,38.29461322
Augusta Margaret River,2015,1,17901,5.586280096
Augusta Margaret River,2016,1,17901,5.586280096
Augusta Margaret River,2017,1,17901,5.586280096
Augusta Margaret River,2018,1,17901,5.586280096
Augusta Margaret River,2019,2,17901,11.17256019
Augusta Margaret River,2021,5,17901,27.93140048
Ballarat,2015,3,115951,2.587299808
Ballarat,2016,7,115951,6.037032885
Ballarat,2017,4,115951,3.449733077
Ballarat,2018,3,115951,2.587299808
Ballarat,2019,2,115951,1.724866538
Ballarat,2020,2,115951,1.724866538
Ballarat,2021,3,115951,2.587299808
Ballarat,2022,4,115951,3.449733077
Ballina,2015,1,46850,2.134471718
Ballina,2016,4,46850,8.537886873
Ballina,2017,1,46850,2.134471718
Ballina,2018,3,46850,6.403415155
Ballina,2019,1,46850,2.134471718
Ballina,2020,1,46850,2.134471718
Ballina,2021,4,46850,8.537886873
Ballina,2022,3,46850,6.403415155
Balonne,2018,1,4353,22.97266253
Balonne,2020,1,4353,22.97266253
Balonne,2022,2,4353,45.94532506
Balranald,2016,1,2210,45.24886878
Balranald,2018,1,2210,45.24886878
Balranald,2019,3,2210,135.7466063
Balranald,2021,1,2210,45.24886878
Balranald,2022,1,2210,45.24886878
Banana,2018,1,14779,6.76635767
Banana,2020,1,14779,6.76635767
Banana,2021,3,14779,20.29907301
Banana,2022,5,14779,33.83178835
Banyule,2015,3,127348,2.3557496
Banyule,2016,1,127348,0.7852498665
Banyule,2017,3,127348,2.3557496
Banyule,2018,2,127348,1.570499733
Banyule,2019,1,127348,0.7852498665
Banyule,2020,2,127348,1.570499733
Banyule,2021,1,127348,0.7852498665
Banyule,2022,2,127348,1.570499733
Barcaldine,2020,1,2865,34.90401396
Barcoo,2018,2,315,634.9206349
Barkly,2015,5,7214,69.30967563
Barkly,2016,6,7214,83.17161076
Barkly,2018,7,7214,97.03354588
Barkly,2020,4,7214,55.4477405
Barkly,2021,2,7214,27.72387025
Barkly,2022,3,7214,41.58580538
Barossa,2015,2,25869,7.731261355
Barossa,2016,3,25869,11.59689203
Barossa,2017,9,25869,34.7906761
Barossa,2018,2,25869,7.731261355
Barossa,2019,1,25869,3.865630678
Barossa,2020,2,25869,7.731261355
Barossa,2021,10,25869,38.65630678
Barossa,2022,1,25869,3.865630678
Barunga West,2019,2,2673,74.82229704
Bass Coast,2016,3,41798,7.177376908
Bass Coast,2017,3,41798,7.177376908
Bass Coast,2019,2,41798,4.784917939
Bass Coast,2020,2,41798,4.784917939
Bass Coast,2022,3,41798,7.177376908
Bassendean,2017,1,16600,6.024096386
Bassendean,2021,1,16600,6.024096386
Bathurst,2015,6,44112,13.60174102
Bathurst,2016,6,44112,13.60174102
Bathurst,2017,5,44112,11.33478419
Bathurst,2018,2,44112,4.533913674
Bathurst,2019,2,44112,4.533913674
Bathurst,2020,3,44112,6.800870511
Bathurst,2021,2,44112,4.533913674
Bathurst,2022,2,44112,4.533913674
Baw Baw,2015,1,59248,1.687820686
Baw Baw,2016,5,59248,8.43910343
Baw Baw,2017,2,59248,3.375641372
Baw Baw,2018,4,59248,6.751282744
Baw Baw,2019,4,59248,6.751282744
Baw Baw,2020,1,59248,1.687820686
Baw Baw,2021,8,59248,13.50256549
Baw Baw,2022,2,59248,3.375641372
Bayside (NSW),2015,2,177945,1.123942791
Bayside (NSW),2016,6,177945,3.371828374
Bayside (NSW),2017,10,177945,5.619713957
Bayside (NSW),2018,8,177945,4.495771165
Bayside (NSW),2019,2,177945,1.123942791
Bayside (NSW),2020,5,177945,2.809856978
Bayside (NSW),2021,3,177945,1.685914187
Bayside (NSW),2022,1,177945,0.5619713957
Bayside (Vic.),2020,1,102177,0.9786938352
Bayside (Vic.),2021,1,102177,0.9786938352
Bayswater,2015,6,72165,8.314279776
Bayswater,2016,1,72165,1.385713296
Bayswater,2017,1,72165,1.385713296
Bayswater,2019,1,72165,1.385713296
Bayswater,2021,2,72165,2.771426592
Bega Valley,2015,5,35988,13.89352006
Bega Valley,2016,2,35988,5.557408025
Bega Valley,2017,1,35988,2.778704012
Bega Valley,2018,4,35988,11.11481605
Bega Valley,2019,3,35988,8.336112037
Bega Valley,2020,1,35988,2.778704012
Bega Valley,2021,2,35988,5.557408025
Bega Valley,2022,1,35988,2.778704012
Bellingen,2015,4,13262,30.16136329
Bellingen,2016,2,13262,15.08068165
Bellingen,2017,4,13262,30.16136329
Bellingen,2018,1,13262,7.540340823
Bellingen,2019,4,13262,30.16136329
Bellingen,2020,3,13262,22.62102247
Bellingen,2021,1,13262,7.540340823
Bellingen,2022,1,13262,7.540340823
Belmont,2015,1,44303,2.257183486
Belmont,2017,1,44303,2.257183486
Belmont,2018,1,44303,2.257183486
Belmont,2020,1,44303,2.257183486
Belmont,2021,2,44303,4.514366973
Benalla,2015,4,14457,27.66825759
Benalla,2017,5,14457,34.58532199
Benalla,2018,3,14457,20.75119319
Benalla,2021,2,14457,13.8341288
Berri Barmera,2016,3,10713,28.0033604
Berri Barmera,2019,1,10713,9.334453468
Berrigan,2017,2,8653,23.11337109
Berrigan,2018,1,8653,11.55668554
Berrigan,2019,1,8653,11.55668554
Berrigan,2022,1,8653,11.55668554
Beverley,2017,1,1738,57.53739931
Beverley,2020,1,1738,57.53739931
Beverley,2021,1,1738,57.53739931
Blacktown,2015,1,410897,0.243369993
Blacktown,2016,10,410897,2.43369993
Blacktown,2017,7,410897,1.703589951
Blacktown,2018,4,410897,0.9734799719
Blacktown,2019,11,410897,2.677069923
Blacktown,2020,7,410897,1.703589951
Blacktown,2021,6,410897,1.460219958
Blacktown,2022,8,410897,1.946959944
Bland,2015,4,5494,72.80669822
Bland,2016,1,5494,18.20167455
Bland,2017,1,5494,18.20167455
Bland,2018,2,5494,36.40334911
Bland,2019,1,5494,18.20167455
Bland,2020,1,5494,18.20167455
Bland,2021,1,5494,18.20167455
Bland,2022,2,5494,36.40334911
Blayney,2017,1,7591,13.17349493
Blayney,2018,2,7591,26.34698986
Blayney,2019,2,7591,26.34698986
Blue Mountains,2016,2,77913,2.566965718
Blue Mountains,2017,1,77913,1.283482859
Blue Mountains,2018,2,77913,2.566965718
Blue Mountains,2019,1,77913,1.283482859
Blue Mountains,2020,3,77913,3.850448577
Blue Mountains,2021,2,77913,2.566965718
Blue Mountains,2022,3,77913,3.850448577
Boddington,2016,2,1757,113.8303927
Boddington,2018,2,1757,113.8303927
Boddington,2019,1,1757,56.91519636
Boddington,2021,1,1757,56.91519636
Bogan,2016,2,2454,81.4995925
Bogan,2017,1,2454,40.74979625
Bogan,2019,2,2454,81.4995925
Bogan,2021,1,2454,40.74979625
Bogan,2022,2,2454,81.4995925
Boroondara,2015,2,169500,1.179941003
Boroondara,2016,4,169500,2.359882006
Boroondara,2017,1,169500,0.5899705015
Boroondara,2018,4,169500,2.359882006
Boroondara,2019,2,169500,1.179941003
Boroondara,2020,6,169500,3.539823009
Boroondara,2021,1,169500,0.5899705015
Boroondara,2022,1,169500,0.5899705015
Bourke,2015,1,2348,42.58943782
Bourke,2018,1,2348,42.58943782
Break O'Day,2015,2,7009,28.53474105
Break O'Day,2017,1,7009,14.26737052
Break O'Day,2019,1,7009,14.26737052
Break O'Day,2021,2,7009,28.53474105
Break O'Day,2022,3,7009,42.80211157
Brewarrina,2019,3,1431,209.6436059
Brewarrina,2022,2,1431,139.7624039
Bridgetown-Greenbushes,2015,1,5526,18.09627217
Bridgetown-Greenbushes,2017,2,5526,36.19254434
Bridgetown-Greenbushes,2019,1,5526,18.09627217
Bridgetown-Greenbushes,2020,1,5526,18.09627217
Brighton,2015,2,19691,10.15692448
Brighton,2017,3,19691,15.23538672
Brighton,2018,1,19691,5.078462242
Brighton,2019,1,19691,5.078462242
Brighton,2020,1,19691,5.078462242
Brighton,2022,2,19691,10.15692448
Brimbank,2015,4,193256,2.069793435
Brimbank,2016,15,193256,7.76172538
Brimbank,2017,4,193256,2.069793435
Brimbank,2018,6,193256,3.104690152
Brimbank,2019,10,193256,5.174483587
Brimbank,2020,1,193256,0.5174483587
Brimbank,2021,6,193256,3.104690152
Brimbank,2022,11,193256,5.691931945
Brisbane,2018,23,1283002,1.792670627
Brisbane,2019,20,1283002,1.558844024
Brisbane,2020,16,1283002,1.247075219
Brisbane,2021,24,1283002,1.870612828
Brisbane,2022,30,1283002,2.338266035
Broken Hill,2020,1,17569,5.691843588
Brookton,2015,2,955,209.4240838
Brookton,2017,1,955,104.7120419
Brookton,2018,1,955,104.7120419
Brookton,2019,3,955,314.1361257
Broome,2015,1,18353,5.448700485
Broome,2017,4,18353,21.79480194
Broome,2018,1,18353,5.448700485
Broome,2020,2,18353,10.89740097
Broome,2021,1,18353,5.448700485
Broomehill-Tambellup,2016,1,1087,91.99632015
Broomehill-Tambellup,2018,2,1087,183.9926403
Broomehill-Tambellup,2019,3,1087,275.9889604
Broomehill-Tambellup,2020,2,1087,183.9926403
Broomehill-Tambellup,2021,1,1087,91.99632015
Bruce Rock,2016,4,1019,392.5417076
Bruce Rock,2019,1,1019,98.13542689
Bruce Rock,2021,1,1019,98.13542689
Bulloo,2022,1,343,291.5451895
Buloke,2015,2,6118,32.69042171
Buloke,2016,1,6118,16.34521085
Buloke,2017,2,6118,32.69042171
Buloke,2019,2,6118,32.69042171
Buloke,2020,2,6118,32.69042171
Buloke,2021,2,6118,32.69042171
Bunbury,2017,3,34393,8.722705202
Bunbury,2020,2,34393,5.815136801
Bunbury,2021,2,34393,5.815136801
Bundaberg,2018,13,102076,12.73560876
Bundaberg,2019,15,102076,14.69493319
Bundaberg,2020,14,102076,13.71527097
Bundaberg,2021,15,102076,14.69493319
Bundaberg,2022,4,102076,3.91864885
Burdekin,2018,3,16869,17.78410101
Burdekin,2019,1,16869,5.928033671
Burdekin,2020,5,16869,29.64016836
Burdekin,2021,2,16869,11.85606734
Burdekin,2022,2,16869,11.85606734
Burke,2019,1,432,231.4814815
Burnie,2015,3,20472,14.65416178
Burnie,2019,1,20472,4.884720594
Burnie,2020,1,20472,4.884720594
Burnie,2021,2,20472,9.769441188
Burnie,2022,1,20472,4.884720594
Burnside,2015,1,46694,2.141602776
Burnside,2017,3,46694,6.424808327
Burnside,2018,1,46694,2.141602776
Burwood,2015,1,40832,2.449059561
Burwood,2016,2,40832,4.898119122
Burwood,2017,1,40832,2.449059561
Burwood,2022,1,40832,2.449059561
Busselton,2015,5,42911,11.65202396
Busselton,2016,1,42911,2.330404791
Busselton,2017,3,42911,6.991214374
Busselton,2018,3,42911,6.991214374
Busselton,2019,4,42911,9.321619165
Busselton,2020,7,42911,16.31283354
Busselton,2021,5,42911,11.65202396
Byron,2015,2,36510,5.477951246
Byron,2017,1,36510,2.738975623
Byron,2018,2,36510,5.477951246
Byron,2019,5,36510,13.69487812
Byron,2020,1,36510,2.738975623
Byron,2022,1,36510,2.738975623
Cabonne,2015,1,13844,7.223345854
Cabonne,2016,2,13844,14.44669171
Cabonne,2017,5,13844,36.11672927
Cabonne,2018,1,13844,7.223345854
Cabonne,2019,3,13844,21.67003756
Cabonne,2020,4,13844,28.89338342
Cabonne,2022,3,13844,21.67003756
Cairns,2018,5,171970,2.907483863
Cairns,2019,11,171970,6.3964645
Cairns,2020,7,171970,4.070477409
Cairns,2021,4,171970,2.325987091
Cairns,2022,8,171970,4.651974182
Cambridge,2016,1,30119,3.320163352
Cambridge,2018,1,30119,3.320163352
Cambridge,2019,2,30119,6.640326704
Cambridge,2021,1,30119,3.320163352
Camden,2015,3,127806,2.347307638
Camden,2016,1,127806,0.7824358794
Camden,2017,2,127806,1.564871759
Camden,2018,1,127806,0.7824358794
Camden,2019,2,127806,1.564871759
Camden,2020,1,127806,0.7824358794
Camden,2021,3,127806,2.347307638
Camden,2022,2,127806,1.564871759
Campaspe,2015,4,38541,10.3785579
Campaspe,2016,2,38541,5.18927895
Campaspe,2017,6,38541,15.56783685
Campaspe,2018,2,38541,5.18927895
Campaspe,2019,3,38541,7.783918425
Campaspe,2020,3,38541,7.783918425
Campaspe,2021,3,38541,7.783918425
Campaspe,2022,8,38541,20.7571158
Campbelltown (NSW),2015,1,180365,0.5544312921
Campbelltown (NSW),2016,3,180365,1.663293876
Campbelltown (NSW),2017,1,180365,0.5544312921
Campbelltown (NSW),2018,5,180365,2.772156461
Campbelltown (NSW),2019,5,180365,2.772156461
Campbelltown (NSW),2020,2,180365,1.108862584
Campbelltown (NSW),2021,5,180365,2.772156461
Campbelltown (NSW),2022,2,180365,1.108862584
Campbelltown (SA),2016,1,56024,1.784949307
Campbelltown (SA),2020,1,56024,1.784949307
Campbelltown (SA),2021,1,56024,1.784949307
Campbelltown (SA),2022,4,56024,7.13979723
Canada Bay,2015,3,89210,3.362851698
Canada Bay,2016,1,89210,1.120950566
Canada Bay,2018,2,89210,2.241901132
Canada Bay,2019,2,89210,2.241901132
