State,Year,Fatalities,Population,"Fatalities Per 1,000","Fatalites Per 10,000","Fatalities Per 100,000","Fatalities Per 1,000,000"
NSW & ACT,2015,365,8070275,0.0452277029,0.452277029,4.52277029,45.2277029
NSW & ACT,2016,390,8204503,0.04753487201,0.4753487201,4.753487201,47.53487201
NSW & ACT,2017,394,8321172,0.04734909938,0.4734909938,4.734909938,47.34909938
NSW & ACT,2018,356,8434322,0.0422084905,0.422084905,4.22084905,42.2084905
NSW & ACT,2019,359,8528628,0.04209352313,0.4209352313,4.209352313,42.09352313
NSW & ACT,2020,291,8541950,0.03406716265,0.3406716265,3.406716265,34.06716265
NSW & ACT,2021,286,8553893,0.03343506869,0.3343506869,3.343506869,33.43506869
NSW & ACT,2022,306,8704310,0.03515499793,0.3515499793,3.515499793,35.15499793
NT,2015,49,244090,0.2007456266,2.007456266,20.07456266,200.7456266
NT,2016,45,246065,0.1828785077,1.828785077,18.28785077,182.8785077
NT,2017,31,246862,0.1255762329,1.255762329,12.55762329,125.5762329
NT,2018,50,245920,0.2033181522,2.033181522,20.33181522,203.3181522
NT,2019,36,246213,0.1462148627,1.462148627,14.62148627,146.2148627
NT,2020,31,247819,0.1250912965,1.250912965,12.50912965,125.0912965
NT,2021,35,248125,0.1410579345,1.410579345,14.10579345,141.0579345
NT,2022,47,250540,0.1875947952,1.875947952,18.75947952,187.5947952
Qld,2015,243,4804933,0.05057302568,0.5057302568,5.057302568,50.57302568
Qld,2016,251,4882939,0.05140346828,0.5140346828,5.140346828,51.40346828
Qld,2017,247,4960965,0.04978870038,0.4978870038,4.978870038,49.78870038
Qld,2018,245,5046434,0.0485491339,0.485491339,4.85491339,48.5491339
Qld,2019,219,5129741,0.0426922139,0.426922139,4.26922139,42.6922139
Qld,2020,278,5184329,0.05362314004,0.5362314004,5.362314004,53.62314004
Qld,2021,277,5261012,0.05265146706,0.5265146706,5.265146706,52.65146706
Qld,2022,297,5382028,0.05518365939,0.5518365939,5.518365939,55.18365939
SA,2015,102,1705937,0.05979118807,0.5979118807,5.979118807,59.79118807
SA,2016,86,1719580,0.05001221228,0.5001221228,5.001221228,50.01221228
SA,2017,100,1735654,0.05761516984,0.5761516984,5.761516984,57.61516984
SA,2018,80,1755715,0.04556548187,0.4556548187,4.556548187,45.56548187
SA,2019,114,1778928,0.06408353795,0.6408353795,6.408353795,64.08353795
SA,2020,93,1794514,0.05182461658,0.5182461658,5.182461658,51.82461658
SA,2021,99,1805733,0.05482538116,0.5482538116,5.482538116,54.82538116
SA,2022,71,1834846,0.03869534555,0.3869534555,3.869534555,38.69534555
Tas,2015,34,515694,0.06593057123,0.6593057123,6.593057123,65.93057123
Tas,2016,37,521981,0.07088380612,0.7088380612,7.088380612,70.88380612
Tas,2017,32,531561,0.0602000523,0.602000523,6.02000523,60.2000523
Tas,2018,32,542927,0.0589397838,0.589397838,5.89397838,58.9397838
Tas,2019,29,553340,0.05240900712,0.5240900712,5.240900712,52.40900712
Tas,2020,38,561881,0.06762997859,0.6762997859,6.762997859,67.62997859
Tas,2021,36,568628,0.0633102837,0.633102837,6.33102837,63.3102837
Tas,2022,51,572099,0.08914541015,0.8914541015,8.914541015,89.14541015
Vic,2015,252,6093049,0.04135860388,0.4135860388,4.135860388,41.35860388
Vic,2016,290,6235781,0.04650580256,0.4650580256,4.650580256,46.50580256
Vic,2017,259,6358210,0.04073473509,0.4073473509,4.073473509,40.73473509
Vic,2018,213,6479695,0.03287191758,0.3287191758,3.287191758,32.87191758
Vic,2019,266,6590050,0.04036388191,0.4036388191,4.036388191,40.36388191
Vic,2020,211,6567195,0.03212939467,0.3212939467,3.212939467,32.12939467
Vic,2021,231,6566092,0.03518074374,0.3518074374,3.518074374,35.18074374
Vic,2022,241,6713075,0.0359000905,0.359000905,3.59000905,35.9000905
WA,2015,161,2547745,0.06319313746,0.6319313746,6.319313746,63.19313746
WA,2016,195,2569606,0.07588712044,0.7588712044,7.588712044,75.88712044
WA,2017,160,2599928,0.06154016573,0.6154016573,6.154016573,61.54016573
WA,2018,159,2636404,0.06030942147,0.6030942147,6.030942147,60.30942147
WA,2019,163,2688799,0.06062186128,0.6062186128,6.062186128,60.62186128
WA,2020,155,2728187,0.05681428729,0.5681428729,5.681428729,56.81428729
WA,2021,166,2763015,0.06007929743,0.6007929743,6.007929743,60.07929743
WA,2022,175,2829589,0.06184643777,0.6184643777,6.184643777,61.84643777
